ENCRYPTION
Plaintext P: 1111010011000111010011011000111011001101101100111010111011110000
Key K: 0110000001001000110011001110000000100001111000000000000001100000
Ciphertext C: 0100110110001000100011001011100011001000000100101010110111011101
Running time: 17ms


Avalanche:

P and Pi under K
Round        DES0    DES1    DES2    DES3
   0          1       1       1       1       
   1          2       2       1       2       
   2          10      10      2       7       
   3          22      21      3       12      
   4          30      29      3       17      
   5          32      32      4       22      
   6          31      31      5       26      
   7          31      31      4       28      
   8          31      31      4       29      
   9          32      31      6       30      
   10          32      31      7       31      
   11          32      31      7       31      
   12          31      32      6       32      
   13          31      31      6       31      
   14          31      31      6       30      
   15          31      31      4       31      
   16          31      31      4       33      


P under K and Ki
Round        DES0    DES1    DES2    DES3
   0          0       0       0       0       
   1          2       0       0       2       
   2          12      0       1       8       
   3          25      0       3       14      
   4          31      0       4       20      
   5          32      0       6       25      
   6          32      0       9       29      
   7          32      0       11      31      
   8          31      0       13      31      
   9          31      0       15      31      
   10          32      0       17      31      
   11          31      0       20      31      
   12          32      0       22      31      
   13          32      0       23      31      
   14          32      0       24      31      
   15          31      0       26      32      
   16          31      0       26      33      
